<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TATN,60,20151127,110000,344.0000000,344.0000000,341.3000000,342.4500000,56730
TATN,60,20151127,120000,342.5500000,342.9500000,340.7500000,340.8500000,120950
TATN,60,20151127,130000,341.0000000,341.4000000,335.7500000,335.9500000,340010
TATN,60,20151127,140000,335.9500000,338.5000000,335.6000000,335.6500000,183710
TATN,60,20151127,150000,335.6500000,338.3000000,335.2500000,335.6000000,232690
TATN,60,20151127,160000,335.8500000,337.4500000,333.3000000,336.6500000,256410
TATN,60,20151127,170000,336.6500000,337.9000000,334.6000000,336.8000000,144410
TATN,60,20151127,180000,336.8500000,339.7500000,336.0000000,338.6000000,187720
TATN,60,20151127,190000,338.7000000,339.0000000,335.2500000,336.9000000,298880
TATN,60,20151130,110000,336.0000000,338.9000000,334.9500000,338.0000000,56950
TATN,60,20151130,120000,337.7000000,338.7500000,333.6500000,333.9500000,192710
TATN,60,20151130,130000,334.0000000,337.6000000,331.8000000,334.6500000,296060
TATN,60,20151130,140000,334.6500000,336.3500000,333.3500000,335.4000000,193790
TATN,60,20151130,150000,335.7000000,335.7000000,329.7000000,329.8500000,325220
TATN,60,20151130,160000,329.9000000,330.6000000,327.4000000,328.5500000,324550
TATN,60,20151130,170000,328.1500000,329.1500000,325.9500000,326.2500000,350110
TATN,60,20151130,180000,326.6500000,328.8000000,325.1500000,325.2500000,329690
TATN,60,20151130,190000,325.2500000,326.6500000,314.0500000,314.0500000,2013120
TATN,60,20151201,110000,317.4000000,322.1000000,316.5000000,320.8500000,535480
TATN,60,20151201,120000,320.8500000,323.5000000,320.8000000,323.2500000,669950
TATN,60,20151201,130000,323.1000000,324.5000000,320.3000000,320.3000000,257460
TATN,60,20151201,140000,320.3000000,321.4000000,320.0000000,320.6500000,183870
TATN,60,20151201,150000,320.7000000,322.4000000,320.0000000,320.3000000,85530
TATN,60,20151201,160000,320.0000000,322.0000000,320.0000000,321.8000000,124350
TATN,60,20151201,170000,321.7500000,323.1000000,320.4000000,322.2000000,171830
TATN,60,20151201,180000,322.2000000,322.3500000,319.1000000,319.1000000,241750
TATN,60,20151201,190000,319.1000000,323.2500000,318.0500000,323.0000000,508850
TATN,60,20151202,110000,324.0500000,324.7500000,321.7500000,323.9000000,118170
TATN,60,20151202,120000,324.1000000,325.0000000,321.0000000,321.0000000,262110
